BDB1032 html  1 issues after 3 retries: French text missing from HTML: "comparer LagOnom. 294, 2nd ed. 247."
BDB1072 html  1 issues after 3 retries: missing Hebrew/Aramaic: ָ  ה
BDB1122 html  2 issues after 3 retries: missing Hebrew/Aramaic: בָּלְתָה; missing Hebrew/Aramaic: ַבּלּוֺתֹּי
BDB1362 html  2 issues after 3 retries: French text missing from HTML: "être doux, agréable, Pael"; French text missing from HTML: "Pael rendre fin, beau"
BDB7162 html  1 issues after 3 retries: French text missing from HTML: "crier, pousser des cris, appeler au secours, habituellement avec אֶל personne..."
BDB2022 html  1 issues after 3 retries: French text missing from HTML: "porte du sud 40,[27] ; Ez 40,28 comparer Co ci-dessus, Ez 40,44"
BDB6072 html  60 issues after 3 retries: missing Hebrew/Aramaic: עֹלָתָה; missing Hebrew/Aramaic: הִקְרִיב ע; missing Hebrew/Aramaic: הקטְיר ע; missing Hebrew/Aramaic: הביא ע; missing Hebrew/Aramaic: עַוְלָה; ... (+55 more)
BDB5042 html  1 issues after 3 retries: French text missing from HTML: "SS ; comparer hébreu tardif נוה Niphal se montrer"
BDB7772 html  1 issues after 3 retries: French text missing from HTML: "θάμβος, résultat de la paresse (על et personne omis) Pr 19,15 figuré pour"
BDB242 html  1 issues after 3 retries: French text missing from HTML: "We & RSOTJC Lect x. N 4"
BDB5302 html  LLM: anglais non traduit « roi » (devrait être « id. » ou « idem ») et « figure » (devrait être « figure » ou « métaphore ») — le texte français contient des anglicismes ou des traductions approximatives (« roi » pour « id. » dans le contexte de Ezekiel, « figure » pour « figurative ») qui ne correspondent pas aux conventions françaises standard pour ce type de lexique. De plus, « id. » est utilisé en français mais « roi » est clairement une erreur de traduction pour « id. » (idem).
BDB6172 html  1 issues after 3 retries: French text missing from HTML: "ע absolu Dt 24,19 ; Lv 23,11 ; Lv 23,12 ; Lv 23,15, construit Lv 23,10 figuré..."
BDB9082 html  2 issues after 3 retries: French text missing from HTML: ") l'homme ouvert de l'œil [mental], ainsi"; French text missing from HTML: "Di et autres rendent fermé de l'œil [corporel]"
BDB1282 html  1 issues after 3 retries: missing Hebrew/Aramaic: יַעֲלוּ הָרִים יֵרְדוּ בְקָעוֺת
BDB4982 html  1 issues after 3 retries: French text missing from HTML: "naga&198;šu"
